STATION,DATE,TEMP,MAX,MIN,Celsius
RPM00098646,2017-09-29,79.88,,,27
RPM00098646,2017-09-30,81.50,87.98,75.56,28
RPM00098646,2017-10-01,83.48,,,29
RPM00098646,2017-10-02,82.58,90.32,,28
RPM00098646,2017-10-03,82.22,89.96,,28
RPM00098646,2017-10-04,82.58,88.16,77.00,28
RPM00098646,2017-10-05,83.48,90.32,76.64,29
RPM00098646,2017-10-06,81.68,88.88,,28
RPM00098646,2017-10-07,82.58,90.86,76.28,28
RPM00098646,2017-10-08,83.12,,77.36,28
RPM00098646,2017-10-09,82.58,90.14,77.72,28
RPM00098646,2017-10-10,83.30,89.96,76.28,28
RPM00098646,2017-10-11,85.64,92.84,78.08,30
RPM00098646,2017-10-12,82.94,,78.80,28
RPM00098646,2017-10-13,82.94,87.80,80.24,28
RPM00098646,2017-10-14,82.22,89.60,78.44,28
RPM00098646,2017-10-15,80.96,,,27
RPM00098646,2017-10-16,80.42,,,27
RPM00098646,2017-10-17,81.50,89.60,75.20,28
RPM00098646,2017-10-18,80.78,87.08,,27
RPM00098646,2017-10-19,79.88,82.76,76.28,27
RPM00098646,2017-10-20,81.86,85.10,76.82,28
RPM00098646,2017-10-21,82.58,,78.44,28
RPM00098646,2017-10-22,83.48,,,29
RPM00098646,2017-10-23,82.94,89.60,75.92,28
RPM00098646,2017-10-24,82.76,87.80,,28
RPM00098646,2017-10-25,80.60,86.54,,27
RPM00098646,2017-10-26,82.58,88.16,74.48,28
RPM00098646,2017-10-27,82.04,89.06,76.64,28
RPM00098646,2017-10-28,81.14,89.06,76.28,27
RPM00098646,2017-10-29,82.04,88.52,75.56,28
RPM00098646,2017-10-30,82.22,88.16,75.92,28
RPM00098646,2017-10-31,78.08,80.60,,26
RPM00098646,2017-11-01,81.14,88.16,76.46,27
RPM00098646,2017-11-02,83.48,,76.64,29
RPM00098646,2017-11-03,82.94,89.24,,28
RPM00098646,2017-11-04,83.84,88.88,77.18,29
RPM00098646,2017-11-05,84.74,89.06,80.24,29
RPM00098646,2017-11-06,83.12,88.70,,28
RPM00098646,2017-11-07,80.42,86.36,78.44,27
RPM00098646,2017-11-08,82.76,88.88,,28
RPM00098646,2017-11-09,82.22,88.70,77.72,28
RPM00098646,2017-11-10,83.48,,77.36,29
RPM00098646,2017-11-11,81.32,89.24,,27
RPM00098646,2017-11-12,80.78,88.16,,27
RPM00098646,2017-11-13,83.66,,77.54,29
RPM00098646,2017-11-14,83.48,90.32,,29
RPM00098646,2017-11-15,83.66,89.78,,29
RPM00098646,2017-11-16,79.88,85.82,,27
RPM00098646,2017-11-17,81.14,86.18,,27
RPM00098646,2017-11-18,82.04,88.88,76.64,28
RPM00098646,2017-11-19,83.66,88.70,77.90,29
RPM00098646,2017-11-20,83.84,,79.16,29
RPM00098646,2017-11-21,82.04,85.46,80.06,28
RPM00098646,2017-11-22,83.66,89.60,,29
RPM00098646,2017-11-23,83.84,89.06,77.90,29
RPM00098646,2017-11-24,82.76,89.60,,28
RPM00098646,2017-11-25,82.22,88.52,78.08,28
RPM00098646,2017-11-26,83.30,,78.62,28
RPM00098646,2017-11-27,83.30,88.34,,28
RPM00098646,2017-11-28,84.02,90.32,76.10,29
RPM00098646,2017-11-29,82.04,87.80,,28
RPM00098646,2017-11-30,83.12,89.06,77.00,28
RPM00098646,2017-12-01,83.48,89.60,77.18,29
RPM00098646,2017-12-02,83.66,,78.80,29
RPM00098646,2017-12-03,82.76,89.24,,28
RPM00098646,2017-12-04,83.84,90.68,76.64,29
RPM00098646,2017-12-05,83.12,90.68,,28
RPM00098646,2017-12-06,82.04,88.34,76.64,28
RPM00098646,2017-12-07,82.58,90.32,77.00,28
RPM00098646,2017-12-08,82.76,91.40,,28
RPM00098646,2017-12-09,83.12,89.78,75.92,28
RPM00098646,2017-12-10,82.76,,77.90,28
RPM00098646,2017-12-11,80.78,90.68,,27
RPM00098646,2017-12-12,80.78,88.52,75.92,27
RPM00098646,2017-12-13,79.52,,,26
RPM00098646,2017-12-14,77.36,80.60,,25
RPM00098646,2017-12-15,73.04,75.92,,23
RPM00098646,2017-12-16,75.74,78.80,69.08,24
RPM00098646,2017-12-17,80.78,87.08,71.06,27
RPM00098646,2017-12-18,81.86,88.70,75.92,28
RPM00098646,2017-12-19,82.76,87.80,76.10,28
RPM00098646,2017-12-20,83.12,88.34,78.08,28
RPM00098646,2017-12-21,80.78,87.80,,27
RPM00098646,2017-12-22,79.52,81.68,76.46,26
RPM00098646,2017-12-23,82.58,88.34,77.72,28
RPM00098646,2017-12-24,82.40,88.16,,28
RPM00098646,2017-12-25,82.22,87.98,77.00,28
RPM00098646,2017-12-26,82.76,87.80,,28
RPM00098646,2017-12-27,82.40,88.34,77.36,28
RPM00098646,2017-12-28,80.06,87.26,,27
RPM00098646,2017-12-29,81.86,,77.18,28
RPM00098646,2017-12-30,79.16,,,26
RPM00098646,2017-12-31,81.50,86.90,73.76,28
RPM00098646,2018-01-01,78.26,82.40,,26
RPM00098646,2018-01-02,80.96,84.92,75.92,27
RPM00098646,2018-01-03,81.68,87.26,76.46,28
RPM00098646,2018-01-04,81.86,,76.28,28
RPM00098646,2018-01-05,80.60,,,27
RPM00098646,2018-01-06,82.22,87.08,76.82,28
RPM00098646,2018-01-07,80.42,86.18,,27
RPM00098646,2018-01-08,81.68,87.26,,28
RPM00098646,2018-01-09,82.40,89.24,76.64,28
RPM00098646,2018-01-10,80.96,87.08,,27
RPM00098646,2018-01-11,81.32,87.08,76.46,27
RPM00098646,2018-01-12,81.50,88.88,75.92,28
RPM00098646,2018-01-13,80.06,88.16,,27
RPM00098646,2018-01-14,78.80,86.00,,26
RPM00098646,2018-01-15,76.46,78.98,,25
RPM00098646,2018-01-16,75.20,,,24
RPM00098646,2018-01-17,79.34,,72.14,26
RPM00098646,2018-01-18,79.88,,,27
RPM00098646,2018-01-19,80.96,86.90,75.38,27
RPM00098646,2018-01-20,79.34,87.08,,26
RPM00098646,2018-01-21,78.98,82.40,,26
RPM00098646,2018-01-22,79.88,85.28,76.10,27
RPM00098646,2018-01-23,81.68,87.80,76.46,28
RPM00098646,2018-01-24,80.42,85.10,,27
RPM00098646,2018-01-25,81.32,86.72,75.20,27
RPM00098646,2018-01-26,82.04,89.06,,28
RPM00098646,2018-01-27,81.86,88.70,76.28,28
RPM00098646,2018-01-28,78.26,82.04,75.20,26
RPM00098646,2018-01-29,81.14,87.44,75.20,27
RPM00098646,2018-01-30,80.96,88.52,75.02,27
RPM00098646,2018-01-31,81.14,86.90,75.20,27
RPM00098646,2018-02-01,82.58,88.88,75.56,28
RPM00098646,2018-02-02,81.68,,,28
RPM00098646,2018-02-03,78.80,84.92,74.48,26
RPM00098646,2018-02-04,81.68,86.90,74.84,28
RPM00098646,2018-02-05,82.04,86.72,77.00,28
RPM00098646,2018-02-06,80.78,87.98,,27
RPM00098646,2018-02-07,80.78,87.44,,27
RPM00098646,2018-02-08,79.52,,,26
RPM00098646,2018-02-09,79.88,87.80,71.96,27
RPM00098646,2018-02-10,79.88,87.08,72.68,27
RPM00098646,2018-02-11,82.76,89.42,72.86,28
RPM00098646,2018-02-12,80.78,90.32,,27
RPM00098646,2018-02-13,76.64,79.88,,25
RPM00098646,2018-02-14,80.24,83.12,75.92,27
RPM00098646,2018-02-15,81.68,,,28
RPM00098646,2018-02-16,80.96,88.88,,27
